Took office ,Left office ,Party 
1829-03-04,4/03/1837,1
1837-03-04,4/03/1841,1
1845-03-04,4/03/1849,1
1853-03-04,4/03/1857,1
1857-03-04,4/03/1861,1
1869-03-04,4/03/1877,0
1877-03-04,4/03/1881,0
1881-03-04,19/09/1881,0
1881-09-19,4/03/1885,0
1885-03-04,4/03/1889,1
1889-03-04,4/03/1893,0
1893-03-04,4/03/1897,1
1897-03-04,14/9/1901,0
1901-09-14,4/3/1909,0
1909-03-04,4/03/1913,0
1913-03-04,4/03/1921,1
1921-03-04,2/8/1923,0
1923-08-02,4/03/1929,0
1929-03-04,4/03/1933,0
1933-03-04,12/4/1945,1
1945-04-12,20/01/1953,1
1953-01-20,20/01/1961,0
1961-01-20,22/11/1963,1
1963-11-22,20/1/1969,1
1969-01-20,9/8/1974,0
1974-08-09,20/01/1977,0
1977-01-20,20/01/1981,1
1981-01-20,20/01/1989,0
1989-01-20,20/01/1993,0
1993-01-20,20/01/2001,1
2001-01-20,20/01/2009,0
2009-01-20,Incumbent ,1
