1976,vermont,63.6
1977,vermont,63.6
1978,vermont,65.9
1979,vermont,66.6
1980,vermont,66.1
1981,vermont,66.8
1982,vermont,67.9
1983,vermont,67.7
1984,vermont,68.2
1985,vermont,68.9
1986,vermont,70.5
1987,vermont,71.3
1988,vermont,71.1
1989,vermont,71.2
1990,vermont,72.0
1991,vermont,70.9
1992,vermont,71.2
1993,vermont,71.9
1994,vermont,71.3
1995,vermont,71.5
1996,vermont,71.6
1997,vermont,71.7
1998,vermont,71.9
1999,vermont,72.4
2000,vermont,70.8
2001,vermont,70.6
2002,vermont,70.7
2003,vermont,71.0
2004,vermont,71.0
2005,vermont,70.2
2006,vermont,71.0
2007,vermont,71.0
2008,vermont,69.9
2009,vermont,70.7
2010,vermont,70.6
2011,vermont,70.6
2012,vermont,69.5
2013,vermont,68.7
2014,vermont,68.0
2015,vermont,67.8
2016,vermont,67.0
2017,vermont,67.3
2018,vermont,67.1
2019,vermont,66.7
2020,vermont,66.1
2021,vermont,62.0
2022,vermont,63.0
2023,vermont,64.2
2024,vermont,65.1
